,Alice,Bob,Charlie
"('(', '10')",0,1,0
"('(', '5')",1,0,0
"('(', '7')",0,0,1
"('(', 'a')",1,0,0
"('(', 'num1')",0,0,1
"('(', 'result')",1,0,0
"('(', 'sum')",0,1,0
"('(', 'total')",0,0,1
"('(', 'x')",0,1,0
"(')', ':')",1,1,1
"(')', 'print')",1,1,1
"('+', 'b')",1,0,0
"('+', 'num2')",0,0,1
"('+', 'y')",0,1,0
"(',', '20')",0,1,0
"(',', '3')",1,0,0
"(',', '8')",0,0,1
"(',', 'b')",1,0,0
"(',', 'num2')",0,0,1
"(',', 'y')",0,1,0
"('10', ',')",0,1,0
"('20', ')')",0,1,0
"('3', ')')",1,0,0
"('5', ',')",1,0,0
"('7', ',')",0,0,1
"('8', ')')",0,0,1
"(':', 'return')",1,1,1
"('=', 'add')",1,1,1
"('a', '+')",1,0,0
"('a', ',')",1,0,0
"('add', '(')",2,2,2
"('b', ')')",1,0,0
"('b', 'result')",1,0,0
"('def', 'add')",1,1,1
"('num1', '+')",0,0,1
"('num1', ',')",0,0,1
"('num2', ')')",0,0,1
"('num2', 'total')",0,0,1
"('print', '(')",1,1,1
"('result', ')')",1,0,0
"('result', '=')",1,0,0
"('return', 'a')",1,0,0
"('return', 'num1')",0,0,1
"('return', 'x')",0,1,0
"('sum', ')')",0,1,0
"('sum', '=')",0,1,0
"('total', ')')",0,0,1
"('total', '=')",0,0,1
"('x', '+')",0,1,0
"('x', ',')",0,1,0
"('y', ')')",0,1,0
"('y', 'sum')",0,1,0
