,Bob,Alice,Charlie
(,0.1,0.125,0.1
),0.1,0.125,0.1
*,0.0,0.0,0.03333333333333333
+,0.06666666666666667,0.041666666666666664,0.03333333333333333
",",0.13333333333333333,0.08333333333333333,0.13333333333333333
10,0.03333333333333333,0.0,0.0
20,0.03333333333333333,0.0,0.0
3,0.0,0.041666666666666664,0.0
30,0.03333333333333333,0.0,0.0
5,0.0,0.041666666666666664,0.0
7,0.0,0.0,0.03333333333333333
8,0.0,0.0,0.03333333333333333
9,0.0,0.0,0.03333333333333333
:,0.03333333333333333,0.041666666666666664,0.03333333333333333
=,0.03333333333333333,0.041666666666666664,0.03333333333333333
a,0.0,0.08333333333333333,0.0
add,0.06666666666666667,0.08333333333333333,0.0
b,0.0,0.08333333333333333,0.0
calculate,0.0,0.0,0.06666666666666667
def,0.03333333333333333,0.041666666666666664,0.03333333333333333
num1,0.0,0.0,0.06666666666666667
num2,0.0,0.0,0.06666666666666667
num3,0.0,0.0,0.06666666666666667
print,0.03333333333333333,0.041666666666666664,0.03333333333333333
result,0.0,0.08333333333333333,0.0
return,0.03333333333333333,0.041666666666666664,0.03333333333333333
sum,0.06666666666666667,0.0,0.0
total,0.0,0.0,0.06666666666666667
x,0.06666666666666667,0.0,0.0
y,0.06666666666666667,0.0,0.0
z,0.06666666666666667,0.0,0.0
