,Bob,Alice,Charlie
!=,0,0,1
"""""""
    Calculates the average of a list of numbers.

    Parameters:
        numbers (list of float): The numbers to calculate the average for.

    Returns:
        float: The average of the numbers.
    """"""",0,1,0
"""""""
    Computes statistics using list comprehensions and lambda functions.

    Parameters:
        data (list of float): The dataset.

    Returns:
        dict: Dictionary containing mean, median, and variance.
    """"""",0,0,1
"""""""
    Decorator to print function name and arguments.
    """"""",0,0,1
"""""""
    Finds the maximum number in a list.

    Parameters:
        numbers (list of float): The list of numbers to search.

    Returns:
        float: The maximum number in the list.
    """"""",0,1,0
"""""""
    Main function to demonstrate calculation of average and maximum.
    """"""",0,1,0
"""Avg:""",1,0,0
"""Max:""",1,0,0
"""__main__""",1,1,1
%,0,0,1
"', '",0,0,2
'mean',0,0,1
'median',0,0,1
'variance',0,0,1
(,11,10,24
),11,10,24
*,0,0,2
**,0,0,3
+,0,0,1
",",6,4,12
-,0,0,2
.,0,0,5
/,1,1,3
//,0,0,1
0,3,1,3
0.0,0,1,0
1,0,0,1
10.5,0,1,0
11,0,0,1
12,0,0,1
14,0,0,1
15,1,0,0
2,0,0,4
23.3,0,1,0
25,1,0,0
3,0,0,1
35,1,0,0
45,1,0,0
45.2,0,1,0
5,1,0,0
67.1,0,1,0
7,0,0,1
8,0,0,1
89.0,0,1,0
9,0,0,1
:,8,8,8
=,7,8,10
==,2,1,1
>,1,1,0
@,0,0,2
None,1,1,0
[,2,2,4
],2,2,4
__name__,1,1,3
a,2,0,0
args,0,0,3
args_list,0,0,2
average,0,2,0
avg,2,2,0
c,2,0,0
calculate_average,0,2,0
compute_statistics,0,0,2
count,0,2,0
data,3,3,10
dataset,0,0,2
debug,0,0,2
def,3,3,4
else,0,0,3
find_maximum,0,2,0
for,1,1,2
from,0,0,1
func,0,0,5
functools,0,0,1
if,4,4,4
import,0,0,1
in,1,1,2
items,0,0,1
join,0,0,2
k,0,0,2
kwargs,0,0,3
kwargs_list,0,0,2
len,2,1,4
m,6,0,0
main,2,2,2
map,0,0,1
max_num,0,2,0
max_val,2,0,0
maximum,0,4,0
mean,0,0,3
median,0,0,2
mid,0,0,4
n,3,0,0
not,1,2,0
number,0,3,0
numbers,0,8,0
nums,8,0,0
print,2,2,3
result,0,0,3
return,4,4,3
s,2,0,0
sorted,0,0,1
sorted_data,0,0,4
stats,0,0,2
str,0,0,1
sum,1,1,2
total_sum,0,2,0
v,0,0,2
variance,0,0,2
wrapper,0,0,2
wraps,0,0,2
x,0,0,2
{,0,2,9
},0,2,9
